Domain,URL Count,Avg Confidence,Analysis Methods,Top Reasons,Status
roboforex24.com,21,67.85,unknown,//www.admiralmarkets.com/)) without clear context ... | The content on the provided URL raises several red... | The content on the provided URL appears to be high...,BLACKLISTED_DOMAIN
188.165.139.199,20,90.00,unknown,The content provided from the URL includes several... | The content from the URL appears to be corrupted o... | The content provided from the URL includes a direc...,BLACKLISTED_DOMAIN
thebrokerstar.com,17,87.06,unknown,The content provided raises several red flags typi... | The content provided raises several red flags typi... | The content provided includes links to multiple do...,BLACKLISTED_DOMAIN
brokersempire.com,17,88.82,unknown,The content provided from the URL includes a direc... | The content provided raises several red flags typi... | The content on the provided URL raises several com...,BLACKLISTED_DOMAIN
kryptoinsiders.com,17,85.00,unknown,"The content promotes ""Master Scalping Trading Stra... | The content promotes ""scalping trading strategies ... | The content on the provided URL promotes ""Top Scal...",BLACKLISTED_DOMAIN
metatraderreviews.com,14,83.64,unknown,The content on the provided URL suggests that it d... | The content provided suggests potential compliance... | The content provided suggests potential misleading...,BLACKLISTED_DOMAIN
top7forexbrokers.com,12,86.25,unknown,The content from the URL suggests potential non-co... | // admiralmarkets .com/start-trading/admiral-inves... | // admiralmarkets .com/signup?language=en) appears...,BLACKLISTED_DOMAIN
octalops.com,11,88.64,unknown,The content on the provided URL raises potential c... | // admiralmarkets .sc/signup) that appears to be i... | The content provided from the URL raises several c...,BLACKLISTED_DOMAIN
fx110cn.pro,11,87.27,unknown,The content provided raises several red flags typi... | The content provided raises several red flags typi... | The content provided from the URL appears to be pr...,BLACKLISTED_DOMAIN
topbrokeragereviews.com,11,85.45,unknown,The content from the URL suggests potential compli... | // admiralmarkets .com/) could be indicative of de... | The content provided from the URL has several red ...,BLACKLISTED_DOMAIN
financemedia.site,10,86.50,unknown,"The content on the provided URL promotes a ""risk-f... | // admiralmarkets .com/trading-platforms/metatrade... | The content on the provided URL appears to be prob...",BLACKLISTED_DOMAIN
fx110cn.com,10,86.50,unknown,The content provided from the URL contains several... | The content provided raises several red flags typi... | The content provided raises several red flags typi...,BLACKLISTED_DOMAIN
www.huikecha.com,10,90.00,unknown,The content provided includes multiple URLs that r... | The content provided raises several red flags typi... | The content provided raises several red flags typi...,BLACKLISTED_DOMAIN
fxwhty.com,10,86.50,unknown,"//admiralmarkets.com""), is a common tactic used in... | The content provided raises several red flags typi... | The content provided raises several red flags typi...",BLACKLISTED_DOMAIN
facebookfinancials.blogspot.com,10,90.00,unknown,The content provided includes a URL that appears t... | The content provided includes a URL that appears t... | The content provided includes a URL that appears t...,BLACKLISTED_DOMAIN
sequencejob.com,6,86.67,unknown,The content on the provided URL raises several com... | // admiralmarkets .com/start-trading/forex-demo) s... | // admiralmarkets .com/analytics/traders-blog/the%...,BLACKLISTED_DOMAIN
